protocol,scenario,plot_group,method,memory_budget,average_accuracy
permuted,Class-IL,memory_budget,Replay,100.0,0.3993333333333334
permuted,Class-IL,memory_budget,NCM,100.0,0.31466666666666665
permuted,Class-IL,memory_budget,Replay+NCM,100.0,0.4413333333333334
permuted,Class-IL,memory_budget,iCaRL-lite,100.0,0.4413333333333334
permuted,Class-IL,memory_budget,Replay,500.0,0.396
permuted,Class-IL,memory_budget,NCM,500.0,0.3713333333333333
permuted,Class-IL,memory_budget,Replay+NCM,500.0,0.43600000000000005
permuted,Class-IL,memory_budget,iCaRL-lite,500.0,0.43600000000000005
permuted,Class-IL,memory_budget,Replay,2000.0,0.3813333333333334
permuted,Class-IL,memory_budget,NCM,2000.0,0.3873333333333333
permuted,Class-IL,memory_budget,Replay+NCM,2000.0,0.4906666666666667
permuted,Class-IL,memory_budget,iCaRL-lite,2000.0,0.4906666666666667
permuted,Class-IL,memory_budget,Replay,5000.0,0.38933333333333336
permuted,Class-IL,memory_budget,NCM,5000.0,0.384
permuted,Class-IL,memory_budget,Replay+NCM,5000.0,0.4793333333333333
permuted,Class-IL,memory_budget,iCaRL-lite,5000.0,0.4793333333333333
