protocol,scenario,method_family,hyperparameter_value,average_accuracy,online_gamma
permuted,Domain-IL,Online EWC,10.0,0.71,0.8
permuted,Domain-IL,Online EWC,10.0,0.7073333333333334,0.6
permuted,Domain-IL,EWC,1000.0,0.7313333333333334,
permuted,Domain-IL,Online EWC,1000.0,0.7326666666666666,1.0
permuted,Domain-IL,Online EWC,1000.0,0.7299999999999999,0.8
permuted,Domain-IL,Online EWC,1000.0,0.726,0.6
permuted,Domain-IL,EWC,100000.0,0.7493333333333333,
permuted,Domain-IL,Online EWC,100000.0,0.7553333333333333,1.0
permuted,Domain-IL,Online EWC,100000.0,0.758,0.8
permuted,Domain-IL,Online EWC,100000.0,0.7533333333333333,0.6
permuted,Domain-IL,SI,0.01,0.7060000000000001,
permuted,Domain-IL,SI,0.1,0.7086666666666667,
permuted,Domain-IL,SI,10.0,0.7133333333333333,
permuted,Domain-IL,SI,1000.0,0.6813333333333333,
permuted,Class-IL,EWC,1.0,0.07400000000000001,
permuted,Class-IL,Online EWC,1.0,0.07400000000000001,1.0
permuted,Class-IL,Online EWC,1.0,0.07400000000000001,0.8
permuted,Class-IL,Online EWC,1.0,0.07400000000000001,0.6
permuted,Class-IL,EWC,10.0,0.08266666666666667,
permuted,Class-IL,Online EWC,10.0,0.08533333333333333,1.0
permuted,Class-IL,Online EWC,10.0,0.08466666666666667,0.8
permuted,Class-IL,Online EWC,10.0,0.086,0.6
permuted,Class-IL,EWC,1000.0,0.18933333333333333,
permuted,Class-IL,Online EWC,1000.0,0.152,1.0
permuted,Class-IL,Online EWC,1000.0,0.14200000000000002,0.8
permuted,Class-IL,Online EWC,1000.0,0.14466666666666667,0.6
permuted,Class-IL,EWC,100000.0,0.11866666666666667,
permuted,Class-IL,Online EWC,100000.0,0.12333333333333334,1.0
permuted,Class-IL,Online EWC,100000.0,0.12266666666666666,0.8
permuted,Class-IL,Online EWC,100000.0,0.122,0.6
permuted,Class-IL,SI,0.01,0.07533333333333334,
permuted,Class-IL,SI,0.1,0.08533333333333334,
permuted,Class-IL,SI,10.0,0.11933333333333333,
permuted,Class-IL,SI,1000.0,0.21000000000000002,
